SL No.,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
1,,Afghanistan,33.93911,67.709953,1/22/2020,0,0,0,0,Eastern Mediterranean
2,,Albania,41.1533,20.1683,1/22/2020,0,0,0,0,Europe
3,,Algeria,28.0339,1.6596,1/22/2020,0,0,0,0,Africa
4,,Andorra,42.5063,1.5218,1/22/2020,0,0,0,0,Europe
5,,Angola,-11.2027,17.8739,1/22/2020,0,0,0,0,Africa
6,,Antigua and Barbuda,17.0608,-61.7964,1/22/2020,0,0,0,0,Americas
7,,Argentina,-38.4161,-63.6167,1/22/2020,0,0,0,0,Americas
8,,Armenia,40.0691,45.0382,1/22/2020,0,0,0,0,Europe
9,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/2020,0,0,0,0,Western Pacific
10,New South Wales,Australia,-33.8688,151.2093,1/22/2020,0,0,0,0,Western Pacific
11,Northern Territory,Australia,-12.4634,130.8456,1/22/2020,0,0,0,0,Western Pacific
12,Queensland,Australia,-27.4698,153.0251,1/22/2020,0,0,0,0,Western Pacific
13,South Australia,Australia,-34.9285,138.6007,1/22/2020,0,0,0,0,Western Pacific
14,Tasmania,Australia,-42.8821,147.3272,1/22/2020,0,0,0,0,Western Pacific
15,Victoria,Australia,-37.8136,144.9631,1/22/2020,0,0,0,0,Western Pacific
16,Western Australia,Australia,-31.9505,115.8605,1/22/2020,0,0,0,0,Western Pacific
17,,Austria,47.5162,14.5501,1/22/2020,0,0,0,0,Europe
18,,Azerbaijan,40.1431,47.5769,1/22/2020,0,0,0,0,Europe
19,,Bahamas,25.025885,-78.035889,1/22/2020,0,0,0,0,Americas
20,,Bahrain,26.0275,50.55,1/22/2020,0,0,0,0,Eastern Mediterranean
21,,Bangladesh,23.685,90.3563,1/22/2020,0,0,0,0,South-East Asia
22,,Barbados,13.1939,-59.5432,1/22/2020,0,0,0,0,Americas
23,,Belarus,53.7098,27.9534,1/22/2020,0,0,0,0,Europe
24,,Belgium,50.8333,4.469936,1/22/2020,0,0,0,0,Europe
25,,Benin,9.3077,2.3158,1/22/2020,0,0,0,0,Africa
26,,Bhutan,27.5142,90.4336,1/22/2020,0,0,0,0,South-East Asia
27,,Bolivia,-16.2902,-63.5887,1/22/2020,0,0,0,0,Americas
28,,Bosnia and Herzegovina,43.9159,17.6791,1/22/2020,0,0,0,0,Europe
29,,Brazil,-14.235,-51.9253,1/22/2020,0,0,0,0,Americas
30,,Brunei,4.5353,114.7277,1/22/2020,0,0,0,0,Western Pacific
31,,Bulgaria,42.7339,25.4858,1/22/2020,0,0,0,0,Europe
32,,Burkina Faso,12.2383,-1.5616,1/22/2020,0,0,0,0,Africa
33,,Cabo Verde,16.5388,-23.0418,1/22/2020,0,0,0,0,Africa
34,,Cambodia,11.55,104.9167,1/22/2020,0,0,0,0,Western Pacific
35,,Cameroon,3.848,11.5021,1/22/2020,0,0,0,0,Africa
36,Alberta,Canada,53.9333,-116.5765,1/22/2020,0,0,0,0,Americas
37,British Columbia,Canada,53.7267,-127.6476,1/22/2020,0,0,0,0,Americas
38,Manitoba,Canada,53.7609,-98.8139,1/22/2020,0,0,0,0,Americas
